"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
49402,162,"NER","Niger",8,"Zinder",35,"Mirriah",114,"Dogo","","","Commune","Commune"
49403,162,"NER","Niger",8,"Zinder",35,"Mirriah",115,"Droum","","","Commune","Commune"
49404,162,"NER","Niger",8,"Zinder",35,"Mirriah",116,"Gafati","","","Commune","Commune"
49405,162,"NER","Niger",8,"Zinder",35,"Mirriah",117,"Garagoumsa","","","Commune","Commune"
49406,162,"NER","Niger",8,"Zinder",35,"Mirriah",118,"Gouna","","","Commune","Commune"
49407,162,"NER","Niger",8,"Zinder",35,"Mirriah",119,"Guidimouni","","","Commune","Commune"
49408,162,"NER","Niger",8,"Zinder",35,"Mirriah",120,"Kissambana","","","Commune","Commune"
49409,162,"NER","Niger",8,"Zinder",35,"Mirriah",121,"Mirria","","","Commune","Commune"
49410,162,"NER","Niger",8,"Zinder",35,"Mirriah",122,"Moa","","","Commune","Commune"
49411,162,"NER","Niger",8,"Zinder",35,"Mirriah",123,"Ouame","","","Commune","Commune"
49412,162,"NER","Niger",8,"Zinder",35,"Mirriah",124,"Tirmini","","","Commune","Commune"
49413,162,"NER","Niger",8,"Zinder",35,"Mirriah",125,"Zermou","","","Commune","Commune"
49414,162,"NER","Niger",8,"Zinder",35,"Mirriah",126,"Zinder","","","Commune","Commune"
49415,162,"NER","Niger",8,"Zinder",36,"Tanout",127,"Gangara","","","Commune","Commune"
49416,162,"NER","Niger",8,"Zinder",36,"Tanout",128,"Ollelawa","","","Commune","Commune"
49417,162,"NER","Niger",8,"Zinder",36,"Tanout",129,"Tanout","","","Commune","Commune"
49418,162,"NER","Niger",8,"Zinder",36,"Tanout",130,"Tarka","","","Commune","Commune"
49419,162,"NER","Niger",8,"Zinder",36,"Tanout",131,"ZR Tanout","","","Commune","Commune"
